variable,mae,rmse,mape,smape,pearson_corr,bias,max_error,p90_abs_error
wind,9189.11863635241,11493.511054034181,1.1267524940024003,0.5522542453549084,0.23981213739203716,-208.09872620707546,38655.603515625,18657.027148437504
pv,3591.2353631818173,5750.4367260828085,231235588.36323234,0.7022254677469024,0.845678939657006,2004.7878060392406,27581.166015625,10525.139843750001
load,3195.703254151408,4175.052423070813,0.058555010261526944,0.058124402496176,0.9071989886847601,-42.83368321183966,20521.87109375,6810.960937500004
