run_id,timestamp,experiment_name,version,config_path,target_type,condition_mode,forecast_in_network,guidance_enable,wind_scale,pv_scale,load_scale,cond_mask,epochs,checkpoint_path,scenario_path,figure_dir,scenario_shape,wind_MAE,pv_MAE,load_MAE,mean_MAE,coverage,interval_width,ramp_MAE,acf_error,notes
20260525_001242_v0_uncond_ddpm_actual_168h,20260525_001242,v0_uncond_ddpm_actual_168h,none,outputs/20260525_001242_v0_uncond_ddpm_actual_168h/config_used.yaml,actual,none,False,False,0.0,0.0,0.0,"[0, 0, 0]",150,outputs/20260525_001242_v0_uncond_ddpm_actual_168h/checkpoints/model_best.pt,outputs/20260525_001242_v0_uncond_ddpm_actual_168h/samples/scenarios.npz,outputs/20260525_001242_v0_uncond_ddpm_actual_168h/figures,"[107620, 3, 168]",0.33640027046203613,0.18906421959400177,0.11906089633703232,0.2148417830467224,86.05436382568887,80.32273639241839,NA,0.08902052124594777,collected
20260525_003053_v0_uncond_ddpm_actual_168h,20260525_003053,v0_uncond_ddpm_actual_168h,none,outputs/20260525_003053_v0_uncond_ddpm_actual_168h/config_used.yaml,actual,none,False,False,0.0,0.0,0.0,"[0, 0, 0]",150,outputs/20260525_003053_v0_uncond_ddpm_actual_168h/checkpoints/model_best.pt,outputs/20260525_003053_v0_uncond_ddpm_actual_168h/samples/scenarios.npz,outputs/20260525_003053_v0_uncond_ddpm_actual_168h/figures,"[53810, 3, 168]",0.24335560202598572,0.21858076751232147,0.12674659490585327,0.19622765481472015,78.0131370518845,63.167807923287604,NA,0.1713687870938884,collected
20260525_013839_v1_2023_guidance_actual_168h,20260525_013839,v1_2023_guidance_actual_168h,guidance_2023,outputs/20260525_013839_v1_2023_guidance_actual_168h/config_used.yaml,actual,guidance_2023,False,True,0.1,0.5,0.5,"[0, 0, 0]",150,outputs/20260525_013839_v1_2023_guidance_actual_168h/checkpoints/model_best.pt,outputs/20260525_013839_v1_2023_guidance_actual_168h/samples/scenarios.npz,outputs/20260525_013839_v1_2023_guidance_actual_168h/figures,"[53810, 3, 168]",0.20169171690940857,0.07675401121377945,0.04182782396674156,0.10675784945487976,59.42045498122436,18.034737893091158,NA,0.10665898747651631,collected
20260525_014620_v1_2023_guidance_actual_168h,20260525_014620,v1_2023_guidance_actual_168h,guidance_2023,outputs/20260525_014620_v1_2023_guidance_actual_168h/config_used.yaml,actual,guidance_2023,False,True,0.1,0.5,0.5,"[0, 0, 0]",150,outputs/20260525_014620_v1_2023_guidance_actual_168h/checkpoints/model_best.pt,outputs/20260525_014620_v1_2023_guidance_actual_168h/samples/scenarios.npz,outputs/20260525_014620_v1_2023_guidance_actual_168h/figures,"[107620, 3, 168]",0.22547264397144318,0.07199506461620331,0.039678577333688736,0.11238209158182144,63.144426450503396,19.698415776994064,NA,0.10687690805967172,collected
20260525_022900_v2_csdi_cond_actual_given_forecast_168h,20260525_022900,v2_csdi_cond_actual_given_forecast_168h,csdi_forecast,outputs/20260525_022900_v2_csdi_cond_actual_given_forecast_168h/config_used.yaml,actual,csdi_forecast,True,False,0.0,0.0,0.0,"[1, 1, 1]",150,outputs/20260525_022900_v2_csdi_cond_actual_given_forecast_168h/checkpoints/model_best.pt,outputs/20260525_022900_v2_csdi_cond_actual_given_forecast_168h/samples/scenarios.npz,outputs/20260525_022900_v2_csdi_cond_actual_given_forecast_168h/figures,"[53810, 3, 168]",0.21365386247634888,0.07177799940109253,0.045642293989658356,0.11035805195569992,82.42312752394521,36.927800441733325,NA,0.07621183380833828,collected
20260525_033218_v_mix_residual_forecast_concat_guidance,20260525_033218,v_mix_residual_forecast_concat_guidance,mix,outputs/20260525_033218_v_mix_residual_forecast_concat_guidance/config_used.yaml,residual,mix,True,True,0.5,0.5,0.5,"[1, 1, 1]",150,outputs/20260525_033218_v_mix_residual_forecast_concat_guidance/checkpoints/model_best.pt,outputs/20260525_033218_v_mix_residual_forecast_concat_guidance/samples/scenarios.npz,outputs/20260525_033218_v_mix_residual_forecast_concat_guidance/figures,"[53810, 3, 168]",0.19945970177650452,0.0832720696926117,0.03704158216714859,0.1065911129117012,55.48833638640366,16.030976373834694,NA,0.1222068534288054,collected
20260525_033557_v2_csdi_cond_actual_given_forecast_168h,20260525_033557,v2_csdi_cond_actual_given_forecast_168h,csdi_forecast,outputs/20260525_033557_v2_csdi_cond_actual_given_forecast_168h/config_used.yaml,actual,csdi_forecast,True,False,0.0,0.0,0.0,"[1, 1, 1]",150,outputs/20260525_033557_v2_csdi_cond_actual_given_forecast_168h/checkpoints/model_best.pt,outputs/20260525_033557_v2_csdi_cond_actual_given_forecast_168h/samples/scenarios.npz,outputs/20260525_033557_v2_csdi_cond_actual_given_forecast_168h/figures,"[107620, 3, 168]",0.26514920592308044,0.06426918506622314,0.03954225406050682,0.12298688292503357,87.10346958581488,40.46480508958581,NA,0.04565793176233354,collected
20260525_050050_v_mix_residual_forecast_concat_guidance,20260525_050050,v_mix_residual_forecast_concat_guidance,mix,outputs/20260525_050050_v_mix_residual_forecast_concat_guidance/config_used.yaml,residual,mix,True,True,0.5,0.5,0.5,"[1, 1, 1]",150,outputs/20260525_050050_v_mix_residual_forecast_concat_guidance/checkpoints/model_best.pt,outputs/20260525_050050_v_mix_residual_forecast_concat_guidance/samples/scenarios.npz,outputs/20260525_050050_v_mix_residual_forecast_concat_guidance/figures,"[107620, 3, 168]",0.1994824856519699,0.05487421527504921,0.03466963395476341,0.09634211659431458,68.39290507753618,19.29262479481168,NA,0.0855943550662131,collected
